[Wed Jun 21 17:01:21 2023] ThreadID[8772]	Start Program.
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[MESSAGE]	Begin Reading Game Level Text File.
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Container_Small.006
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -2.532200 Y 7.490100 Z -3.173700
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Camera Detected: Camera
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -4.696300 Y 7.543000 Z -9.835600
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Container_Small.001
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -4.121900 Y 7.504500 Z -3.173700
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Container_Small.002
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -5.876600 Y 7.520400 Z -3.173700
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Container_Small
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -7.747000 Y 7.537300 Z -3.173700
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Container_Small.004
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -6.749000 Y 8.820200 Z -3.226600
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Container_Small.005
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -4.924800 Y 8.803700 Z -3.226600
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Container_Small.007
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -3.243800 Y 8.788500 Z -3.226600
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Alien.001
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -3.129900 Y 9.340500 Z -2.816300
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Alien
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -3.129900 Y 9.340500 Z -2.816300
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Alien.003
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -6.724600 Y 9.373000 Z -2.816300
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Alien.002
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -6.724600 Y 9.373000 Z -2.816300
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Column
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -3.021600 Y 0.649300 Z -0.987700
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Model Detected: Planet_1
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[INFO]	Location: X -4.411000 Y 1.195000 Z 0.000000
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[MESSAGE]	Game Level File Reading Complete.
[Wed Jun 21 17:01:21 2023] ThreadID[8772]	[MESSAGE]	Begin Importing .H2B File Data.
